Order ID,Order Date,Ship Date,Country,Region,Item Type,Sales Channel,Order Priority,Units Sold,Unit Price,Unit Cost
672330081,2022-10-31 00:00:00,2022-11-19 00:00:00,Bulgaria,Europe,Office Supplies,Online,Low,6266,651.21,524.96
127374303,2017-03-13 00:00:00,2017-03-22 00:00:00,Mexico,North America,Beverages,Online,Cancelled,1742,47.45,31.79
783842170,2019-04-16 00:00:00,2019-04-21 00:00:00,Trinidad and Tobago,Central America and the Caribbean,Baby Food,Offline,Cancelled,5172,255.28,159.42
993345010,2022-01-18 00:00:00,2022-01-19 00:00:00,Libya,Middle East and North Africa,Beverages,Offline,Low,1718,47.45,31.79
977806651,2015-09-05 00:00:00,2015-09-06 00:00:00,Algeria,Middle East and North Africa,Baby Food,Offline,Medium,3572,255.28,159.42
579463422,2016-09-28 00:00:00,2016-10-13 00:00:00,Estonia,Europe,Fruits,Online,Low,4958,9.33,6.92
610864150,2020-03-22 00:00:00,2020-03-30 00:00:00,Tuvalu,Australia and Oceania,Beverages,Offline,Low,7132,47.45,31.79
604870164,2017-04-25 00:00:00,2017-04-30 00:00:00,Saudi Arabia,Middle East and North Africa,Snacks,Offline,Low,3378,152.58,97.44
164655292,2018-03-13 00:00:00,2018-03-16 00:00:00,Cuba,Central America and the Caribbean,Cereal,Online,High,4015,205.7,117.11
313705861,2016-05-29 00:00:00,2016-06-17 00:00:00,Montenegro,Europe,Fruits,Offline,Low,1390,9.33,6.92
345820701,2020-01-17 00:00:00,2020-01-26 00:00:00,Guatemala,Central America and the Caribbean,Office Supplies,Online,Medium,4885,651.21,524.96
975111138,2020-12-27 00:00:00,2021-01-04 00:00:00,Guinea,Sub-Saharan Africa,Baby Food,Online,Medium,5910,255.28,159.42
286001002,2019-04-01 00:00:00,2019-04-05 00:00:00,Vanuatu,Australia and Oceania,Snacks,Online,Cancelled,2907,152.58,97.44
483226621,2015-06-26 00:00:00,2015-07-15 00:00:00,United Arab Emirates,Middle East and North Africa,Cosmetics,Offline,High,6350,437.2,263.33
241836822,2020-01-17 00:00:00,2020-01-18 00:00:00,Australia,Australia and Oceania,Clothes,Offline,Medium,3744,109.28,35.84
557192933,2021-07-03 00:00:00,2021-07-24 00:00:00,Oman,Middle East and North Africa,Clothes,Online,High,4626,109.28,35.84
694968783,2020-02-17 00:00:00,2020-02-19 00:00:00,Malawi,Sub-Saharan Africa,Meat,Online,Low,5562,421.89,364.69
441150701,2019-04-05 00:00:00,2019-04-22 00:00:00,Lebanon,Middle East and North Africa,Fruits,Online,High,5150,9.33,6.92
552037513,2021-07-08 00:00:00,2021-07-17 00:00:00,Czech Republic,Europe,Cereal,Online,Medium,9022,205.7,117.11
504240548,2020-02-24 00:00:00,2020-03-15 00:00:00,Vanuatu,Australia and Oceania,Cosmetics,Offline,Cancelled,4838,437.2,263.33
744683635,2022-02-13 00:00:00,2022-02-16 00:00:00,Luxembourg,Europe,Vegetables,Offline,Low,7291,154.06,90.93
440603101,2016-08-07 00:00:00,2016-08-23 00:00:00,Benin,Sub-Saharan Africa,Personal Care,Online,Low,3104,81.73,56.67
629547774,2017-04-26 00:00:00,2017-05-06 00:00:00,Somalia,Middle East and North Africa,Clothes,Offline,Low,6031,109.28,35.84
169378983,2018-03-21 00:00:00,2018-03-24 00:00:00,Switzerland,Europe,Meat,Online,Low,1860,421.89,364.69
688270556,2018-02-02 00:00:00,2018-02-06 00:00:00,Saudi Arabia,Middle East and North Africa,Personal Care,Offline,Low,3407,81.73,56.67
734708821,2017-03-21 00:00:00,2017-03-30 00:00:00,Laos,Asia,Meat,Online,Low,5522,421.89,364.69
727492606,2019-08-06 00:00:00,2019-08-22 00:00:00,Kyrgyzstan,Asia,Snacks,Online,Cancelled,84,152.58,97.44
705733239,2016-12-30 00:00:00,2017-01-17 00:00:00,Algeria,Middle East and North Africa,Baby Food,Offline,Medium,1003,255.28,159.42
778854548,2015-10-03 00:00:00,2015-10-04 00:00:00,Angola,Sub-Saharan Africa,Office Supplies,Offline,Cancelled,9224,651.21,524.96
676592862,2018-05-30 00:00:00,2018-06-18 00:00:00,Mauritania,Sub-Saharan Africa,Cosmetics,Offline,Medium,7718,437.2,263.33
198997008,2018-10-15 00:00:00,2018-10-31 00:00:00,Lebanon,Middle East and North Africa,Household,Offline,Medium,6492,668.27,502.54
566428315,2020-03-16 00:00:00,2020-03-29 00:00:00,Finland,Europe,Beverages,Online,High,7581,47.45,31.79
369560611,2018-05-27 00:00:00,2018-06-06 00:00:00,Taiwan,Asia,Baby Food,Online,Medium,52,255.28,159.42
519380223,2015-01-12 00:00:00,2015-02-01 00:00:00,Belgium,Europe,Snacks,Online,Medium,5005,152.58,97.44
197185981,2020-08-10 00:00:00,2020-08-23 00:00:00,Laos,Asia,Office Supplies,Online,High,568,651.21,524.96
904589211,2018-04-13 00:00:00,2018-04-26 00:00:00,San Marino,Europe,Office Supplies,Online,High,6905,651.21,524.96
613513743,2016-11-23 00:00:00,2016-11-25 00:00:00,Tuvalu,Australia and Oceania,Household,Offline,High,1205,668.27,502.54
516195905,2022-10-22 00:00:00,2022-11-02 00:00:00,Kiribati,Australia and Oceania,Clothes,Offline,Medium,2694,109.28,35.84
975184524,2019-12-03 00:00:00,2019-12-06 00:00:00,Kyrgyzstan,Asia,Vegetables,Offline,High,7626,154.06,90.93
173340928,2018-12-08 00:00:00,2018-12-12 00:00:00,Samoa ,Australia and Oceania,Clothes,Online,Medium,4287,109.28,35.84
863838946,2018-12-16 00:00:00,2018-12-24 00:00:00,Central African Republic,Sub-Saharan Africa,Personal Care,Offline,High,7995,81.73,56.67
920164906,2016-03-02 00:00:00,2016-03-15 00:00:00,Uzbekistan,Asia,Cereal,Offline,Low,6099,205.7,117.11
986117637,2022-06-12 00:00:00,2022-06-16 00:00:00,Dominica,Central America and the Caribbean,Meat,Online,Medium,2977,421.89,364.69
425808465,2019-06-18 00:00:00,2019-06-21 00:00:00,Qatar,Middle East and North Africa,Cereal,Online,Low,5042,205.7,117.11
473661220,2015-06-12 00:00:00,2015-06-14 00:00:00,Saint Lucia,Central America and the Caribbean,Beverages,Online,Low,5736,47.45,31.79
184412229,2015-04-04 00:00:00,2015-04-19 00:00:00,Bosnia and Herzegovina,Europe,Baby Food,Online,Cancelled,531,255.28,159.42
483110320,2016-08-12 00:00:00,2016-08-13 00:00:00,South Korea,Asia,Vegetables,Offline,High,1934,154.06,90.93
115116822,2016-09-22 00:00:00,2016-10-11 00:00:00,Trinidad and Tobago,Central America and the Caribbean,Household,Online,High,4481,668.27,502.54
596105563,2022-01-29 00:00:00,2022-02-01 00:00:00,Somalia,Middle East and North Africa,Baby Food,Online,Medium,9738,255.28,159.42
362062871,2018-12-10 00:00:00,2018-12-21 00:00:00,Nigeria,Sub-Saharan Africa,Snacks,Online,Cancelled,1304,152.58,97.44
619287574,2016-07-28 00:00:00,2016-07-30 00:00:00,South Africa,Sub-Saharan Africa,Beverages,Online,High,9810,47.45,31.79
394391000,2016-06-10 00:00:00,2016-07-01 00:00:00,Saint Vincent and the Grenadines,Central America and the Caribbean,Clothes,Offline,High,7916,109.28,35.84
584296977,2019-04-16 00:00:00,2019-04-26 00:00:00,Sudan,Sub-Saharan Africa,Beverages,Online,Medium,5315,47.45,31.79
806241834,2018-07-05 00:00:00,2018-07-21 00:00:00,Algeria,Middle East and North Africa,Clothes,Offline,Medium,3730,109.28,35.84
747774398,2017-03-08 00:00:00,2017-03-29 00:00:00,Netherlands,Europe,Meat,Offline,Medium,1916,421.89,364.69
616755998,2021-11-24 00:00:00,2021-12-01 00:00:00,Panama,Central America and the Caribbean,Meat,Online,High,660,421.89,364.69
691360461,2016-10-20 00:00:00,2016-11-07 00:00:00,Solomon Islands,Australia and Oceania,Baby Food,Offline,Cancelled,7779,255.28,159.42
870074117,2019-04-01 00:00:00,2019-04-15 00:00:00,Saint Vincent and the Grenadines,Central America and the Caribbean,Beverages,Online,Cancelled,3121,47.45,31.79
221695792,2022-03-01 00:00:00,2022-03-21 00:00:00,Iran,Middle East and North Africa,Office Supplies,Online,High,3566,651.21,524.96
135336816,2017-07-13 00:00:00,2017-08-01 00:00:00,Vanuatu,Australia and Oceania,Fruits,Online,Medium,8026,9.33,6.92
270421016,2020-04-29 00:00:00,2020-04-30 00:00:00,Federated States of Micronesia,Australia and Oceania,Office Supplies,Online,Low,2443,651.21,524.96
806684720,2022-06-16 00:00:00,2022-07-07 00:00:00,Equatorial Guinea,Sub-Saharan Africa,Household,Online,High,4790,668.27,502.54
194176757,2017-07-10 00:00:00,2017-07-21 00:00:00,Russia,Europe,Household,Online,Medium,72,668.27,502.54
103258454,2017-06-28 00:00:00,2017-07-11 00:00:00,Azerbaijan,Middle East and North Africa,Baby Food,Offline,High,5326,255.28,159.42
474603641,2018-04-21 00:00:00,2018-04-25 00:00:00,Iraq,Middle East and North Africa,Office Supplies,Online,High,4619,651.21,524.96
869198644,2020-12-26 00:00:00,2021-01-11 00:00:00,Mauritius ,Sub-Saharan Africa,Cereal,Online,High,4049,205.7,117.11
918342292,2015-11-01 00:00:00,2015-11-13 00:00:00,Eritrea,Sub-Saharan Africa,Household,Online,High,6747,668.27,502.54
773645913,2021-01-22 00:00:00,2021-02-12 00:00:00,Ukraine,Europe,Cosmetics,Online,High,7873,437.2,263.33
657033336,2018-06-13 00:00:00,2018-06-24 00:00:00,Myanmar,Asia,Cosmetics,Online,Cancelled,9620,437.2,263.33
410740888,2020-07-24 00:00:00,2020-08-10 00:00:00,Bosnia and Herzegovina,Europe,Meat,Online,High,6211,421.89,364.69
847317397,2021-12-15 00:00:00,2022-01-03 00:00:00,Latvia,Europe,Meat,Offline,Medium,8902,421.89,364.69
599624192,2020-09-03 00:00:00,2020-09-16 00:00:00,Serbia,Europe,Beverages,Online,Low,978,47.45,31.79
170835101,2020-01-19 00:00:00,2020-01-31 00:00:00,Mongolia,Asia,Beverages,Offline,High,2758,47.45,31.79
584436452,2016-01-17 00:00:00,2016-02-03 00:00:00,Grenada,Central America and the Caribbean,Cereal,Online,High,6588,205.7,117.11
234227073,2020-10-02 00:00:00,2020-10-12 00:00:00,Namibia,Sub-Saharan Africa,Office Supplies,Online,High,1851,651.21,524.96
734318292,2018-01-21 00:00:00,2018-01-23 00:00:00,Portugal,Europe,Office Supplies,Online,Medium,9956,651.21,524.96
169133937,2019-12-21 00:00:00,2019-12-28 00:00:00,Barbados,Central America and the Caribbean,Snacks,Online,High,9345,152.58,97.44
743410336,2015-02-24 00:00:00,2015-03-01 00:00:00,Sri Lanka,Asia,Cereal,Online,Cancelled,494,205.7,117.11
232196319,2017-07-07 00:00:00,2017-07-15 00:00:00,Poland,Europe,Household,Offline,Low,905,668.27,502.54
530853211,2018-06-30 00:00:00,2018-07-13 00:00:00,Senegal,Sub-Saharan Africa,Beverages,Offline,Low,117,47.45,31.79
905054843,2021-12-07 00:00:00,2021-12-18 00:00:00,Kiribati,Australia and Oceania,Fruits,Online,Low,4695,9.33,6.92
240787541,2016-09-27 00:00:00,2016-09-28 00:00:00,Somalia,Middle East and North Africa,Household,Offline,Cancelled,3239,668.27,502.54
194350135,2022-05-22 00:00:00,2022-06-09 00:00:00,Burundi,Sub-Saharan Africa,Meat,Online,Low,1379,421.89,364.69
242353951,2019-04-12 00:00:00,2019-04-22 00:00:00,Malaysia,Asia,Household,Online,Low,6775,668.27,502.54
831722819,2020-10-17 00:00:00,2020-10-28 00:00:00,Haiti,Central America and the Caribbean,Vegetables,Offline,Cancelled,4120,154.06,90.93
229693067,2020-07-15 00:00:00,2020-08-01 00:00:00,Liechtenstein,Europe,Cosmetics,Online,Low,138,437.2,263.33
373813521,2019-05-19 00:00:00,2019-05-31 00:00:00,Zambia,Sub-Saharan Africa,Cereal,Offline,High,8583,205.7,117.11
121945512,2017-04-08 00:00:00,2017-04-24 00:00:00,United Kingdom,Europe,Beverages,Online,Cancelled,5242,47.45,31.79
202262866,2015-11-06 00:00:00,2015-11-26 00:00:00,Vanuatu,Australia and Oceania,Fruits,Offline,Low,2932,9.33,6.92
963251912,2016-12-21 00:00:00,2016-12-31 00:00:00,Tuvalu,Australia and Oceania,Personal Care,Offline,Medium,6501,81.73,56.67
123711478,2022-08-21 00:00:00,2022-08-30 00:00:00,Antigua and Barbuda ,Central America and the Caribbean,Household,Online,Medium,7830,668.27,502.54
422752892,2022-08-12 00:00:00,2022-08-17 00:00:00,Haiti,Central America and the Caribbean,Clothes,Offline,Low,830,109.28,35.84
169799983,2020-10-22 00:00:00,2020-10-23 00:00:00,Slovenia,Europe,Fruits,Online,High,6443,9.33,6.92
894589078,2018-03-11 00:00:00,2018-03-23 00:00:00,Malta,Europe,Vegetables,Online,Medium,7643,154.06,90.93
597169005,2016-08-03 00:00:00,2016-08-04 00:00:00,Bhutan,Asia,Office Supplies,Offline,Medium,4434,651.21,524.96
497901093,2015-04-26 00:00:00,2015-05-14 00:00:00,Eritrea,Sub-Saharan Africa,Office Supplies,Offline,High,8853,651.21,524.96
987459170,2022-07-16 00:00:00,2022-07-19 00:00:00,Ukraine,Europe,Personal Care,Online,Medium,9967,81.73,56.67
276829564,2021-01-22 00:00:00,2021-01-29 00:00:00,Singapore,Asia,Personal Care,Offline,Medium,8875,81.73,56.67
247311103,2015-05-22 00:00:00,2015-06-01 00:00:00,Cameroon,Sub-Saharan Africa,Household,Offline,High,3706,668.27,502.54
600515115,2015-07-12 00:00:00,2015-07-15 00:00:00,Cyprus,Europe,Fruits,Offline,Medium,4622,9.33,6.92
208365428,2015-11-27 00:00:00,2015-12-10 00:00:00,Poland,Europe,Office Supplies,Offline,Medium,8815,651.21,524.96
263098371,2018-06-08 00:00:00,2018-06-18 00:00:00,Monaco,Europe,Personal Care,Online,Low,5509,81.73,56.67
227262771,2019-11-21 00:00:00,2019-12-08 00:00:00,Vanuatu,Australia and Oceania,Office Supplies,Online,Low,959,651.21,524.96
983719956,2022-07-14 00:00:00,2022-07-15 00:00:00,Gabon,Sub-Saharan Africa,Office Supplies,Offline,High,3450,651.21,524.96
785643756,2019-01-17 00:00:00,2019-01-22 00:00:00,Djibouti,Sub-Saharan Africa,Baby Food,Offline,High,8301,255.28,159.42
206520497,2016-01-15 00:00:00,2016-01-27 00:00:00,Namibia,Sub-Saharan Africa,Office Supplies,Online,Cancelled,2859,651.21,524.96
790149009,2021-05-23 00:00:00,2021-05-30 00:00:00,Estonia,Europe,Cosmetics,Online,Cancelled,1505,437.2,263.33
100640618,2018-10-08 00:00:00,2018-10-22 00:00:00,Norway,Europe,Cereal,Online,Medium,650,205.7,117.11
272419154,2016-05-27 00:00:00,2016-05-29 00:00:00,Ethiopia,Sub-Saharan Africa,Personal Care,Online,Low,3736,81.73,56.67
360220944,2015-02-27 00:00:00,2015-03-19 00:00:00,Burundi,Sub-Saharan Africa,Meat,Offline,Medium,6237,421.89,364.69
389094817,2018-10-01 00:00:00,2018-10-11 00:00:00,Thailand,Asia,Beverages,Offline,Cancelled,658,47.45,31.79
904402101,2020-05-19 00:00:00,2020-05-22 00:00:00,Mauritius ,Sub-Saharan Africa,Meat,Offline,Low,1534,421.89,364.69
721816623,2022-02-13 00:00:00,2022-03-04 00:00:00,Uganda,Sub-Saharan Africa,Vegetables,Online,High,434,154.06,90.93
977324712,2021-02-01 00:00:00,2021-02-07 00:00:00,Luxembourg,Europe,Snacks,Online,High,955,152.58,97.44
177225196,2015-09-07 00:00:00,2015-09-14 00:00:00,The Gambia,Sub-Saharan Africa,Beverages,Online,Cancelled,3729,47.45,31.79
948129403,2022-03-27 00:00:00,2022-04-08 00:00:00,United Arab Emirates,Middle East and North Africa,Beverages,Online,Medium,1415,47.45,31.79
586961162,2016-03-15 00:00:00,2016-03-24 00:00:00,Haiti,Central America and the Caribbean,Meat,Offline,Medium,3706,421.89,364.69
510956799,2022-09-07 00:00:00,2022-09-18 00:00:00,Luxembourg,Europe,Snacks,Online,High,2326,152.58,97.44
407665145,2019-06-26 00:00:00,2019-07-06 00:00:00,Saint Lucia,Central America and the Caribbean,Meat,Online,Low,6030,421.89,364.69
484947526,2015-03-09 00:00:00,2015-03-18 00:00:00,Iraq,Middle East and North Africa,Meat,Online,Cancelled,5604,421.89,364.69
120977771,2021-03-23 00:00:00,2021-03-25 00:00:00,Armenia,Europe,Fruits,Online,Medium,8866,9.33,6.92
114242208,2019-03-29 00:00:00,2019-04-16 00:00:00,Singapore,Asia,Personal Care,Offline,Medium,5663,81.73,56.67
433539664,2015-01-05 00:00:00,2015-01-20 00:00:00,Jordan,Middle East and North Africa,Clothes,Online,Medium,2876,109.28,35.84
667981469,2021-05-21 00:00:00,2021-06-05 00:00:00,Tonga,Australia and Oceania,Meat,Online,Medium,9416,421.89,364.69
476991450,2017-03-11 00:00:00,2017-03-19 00:00:00,Bulgaria,Europe,Snacks,Offline,Low,1225,152.58,97.44
940305936,2022-06-23 00:00:00,2022-06-30 00:00:00,Sudan,Sub-Saharan Africa,Office Supplies,Online,Cancelled,6277,651.21,524.96
507973754,2021-12-28 00:00:00,2022-01-03 00:00:00,Mali,Sub-Saharan Africa,Baby Food,Online,High,9577,255.28,159.42
850356233,2019-04-06 00:00:00,2019-04-13 00:00:00,Myanmar,Asia,Cosmetics,Online,Low,8161,437.2,263.33
108127200,2022-09-05 00:00:00,2022-09-09 00:00:00,Sri Lanka,Asia,Meat,Offline,Low,6096,421.89,364.69
542272984,2016-10-27 00:00:00,2016-11-03 00:00:00,Azerbaijan,Middle East and North Africa,Office Supplies,Online,Cancelled,9481,651.21,524.96
884092414,2021-04-11 00:00:00,2021-04-28 00:00:00,Tanzania,Sub-Saharan Africa,Office Supplies,Offline,Cancelled,1447,651.21,524.96
385196816,2020-07-17 00:00:00,2020-07-21 00:00:00,Swaziland,Sub-Saharan Africa,Household,Offline,Cancelled,7153,668.27,502.54
167510020,2019-09-09 00:00:00,2019-09-12 00:00:00,Myanmar,Asia,Meat,Online,Low,8792,421.89,364.69
973268353,2016-06-05 00:00:00,2016-06-17 00:00:00,Denmark,Europe,Beverages,Online,High,589,47.45,31.79
915020644,2020-02-28 00:00:00,2020-03-08 00:00:00,Seychelles ,Sub-Saharan Africa,Fruits,Offline,Medium,3797,9.33,6.92
425628221,2016-01-31 00:00:00,2016-02-21 00:00:00,Madagascar,Sub-Saharan Africa,Cosmetics,Offline,Cancelled,1704,437.2,263.33
908264911,2022-05-18 00:00:00,2022-05-21 00:00:00,Saint Lucia,Central America and the Caribbean,Beverages,Online,Low,4626,47.45,31.79
686417043,2016-02-25 00:00:00,2016-03-10 00:00:00,Mauritius ,Sub-Saharan Africa,Cereal,Online,Cancelled,4912,205.7,117.11
853883445,2019-12-07 00:00:00,2019-12-16 00:00:00,Taiwan,Asia,Household,Online,High,1941,668.27,502.54
324775445,2015-08-08 00:00:00,2015-08-11 00:00:00,Morocco,Middle East and North Africa,Cereal,Online,Cancelled,7126,205.7,117.11
783516871,2015-03-03 00:00:00,2015-03-15 00:00:00,Jordan,Middle East and North Africa,Cereal,Online,Cancelled,8909,205.7,117.11
834844052,2015-04-15 00:00:00,2015-04-27 00:00:00,China,Asia,Cosmetics,Offline,High,7762,437.2,263.33
953805816,2015-11-20 00:00:00,2015-12-03 00:00:00,South Korea,Asia,Snacks,Offline,High,1191,152.58,97.44
335763490,2022-05-22 00:00:00,2022-06-10 00:00:00,United States of America,North America,Office Supplies,Online,Low,8733,651.21,524.96
946390902,2020-03-18 00:00:00,2020-04-05 00:00:00,Uzbekistan,Asia,Cosmetics,Online,High,6954,437.2,263.33
771674382,2019-02-14 00:00:00,2019-02-17 00:00:00,Finland,Europe,Vegetables,Offline,Low,4453,154.06,90.93
567912757,2017-04-23 00:00:00,2017-05-11 00:00:00,Philippines,Asia,Cereal,Online,Cancelled,6860,205.7,117.11
711717355,2018-11-18 00:00:00,2018-11-28 00:00:00,Libya,Middle East and North Africa,Office Supplies,Offline,Low,1836,651.21,524.96
750012004,2015-12-11 00:00:00,2016-01-01 00:00:00,South Sudan,Sub-Saharan Africa,Office Supplies,Online,Low,4074,651.21,524.96
750033032,2016-07-09 00:00:00,2016-07-25 00:00:00,Kuwait,Middle East and North Africa,Snacks,Online,Cancelled,297,152.58,97.44
849329268,2017-06-28 00:00:00,2017-07-15 00:00:00,Saint Lucia,Central America and the Caribbean,Household,Offline,High,4259,668.27,502.54
805762040,2019-03-22 00:00:00,2019-04-12 00:00:00,Grenada,Central America and the Caribbean,Meat,Online,Medium,1748,421.89,364.69
447505176,2022-07-04 00:00:00,2022-07-18 00:00:00,Namibia,Sub-Saharan Africa,Cereal,Online,High,5581,205.7,117.11
123045003,2017-03-14 00:00:00,2017-03-22 00:00:00,Solomon Islands,Australia and Oceania,Beverages,Offline,Low,606,47.45,31.79
251180350,2015-09-21 00:00:00,2015-10-03 00:00:00,Philippines,Asia,Household,Offline,High,8702,668.27,502.54
871022546,2020-04-10 00:00:00,2020-04-24 00:00:00,Turkmenistan,Asia,Household,Online,Medium,3782,668.27,502.54
291995418,2022-05-02 00:00:00,2022-05-19 00:00:00,Kosovo,Europe,Fruits,Online,Low,6788,9.33,6.92
943835294,2018-06-13 00:00:00,2018-06-30 00:00:00,Singapore,Asia,Clothes,Online,Cancelled,692,109.28,35.84
826591002,2021-04-18 00:00:00,2021-05-05 00:00:00,South Africa,Sub-Saharan Africa,Office Supplies,Offline,Low,5501,651.21,524.96
260623872,2021-05-01 00:00:00,2021-05-15 00:00:00,Lebanon,Middle East and North Africa,Cosmetics,Online,Medium,3250,437.2,263.33
536607730,2018-09-21 00:00:00,2018-10-06 00:00:00,Samoa ,Australia and Oceania,Vegetables,Online,Low,3007,154.06,90.93
765528905,2015-02-17 00:00:00,2015-03-10 00:00:00,Samoa ,Australia and Oceania,Personal Care,Offline,Low,5870,81.73,56.67
128686225,2021-01-25 00:00:00,2021-02-11 00:00:00,Hungary,Europe,Baby Food,Online,Medium,9968,255.28,159.42
127691018,2017-04-01 00:00:00,2017-04-14 00:00:00,Pakistan,Middle East and North Africa,Vegetables,Offline,Low,5465,154.06,90.93
534467113,2015-05-21 00:00:00,2015-06-02 00:00:00,Tonga,Australia and Oceania,Vegetables,Offline,Cancelled,9550,154.06,90.93
741250836,2022-12-18 00:00:00,2022-12-23 00:00:00,Vanuatu,Australia and Oceania,Personal Care,Online,High,1450,81.73,56.67
210591018,2018-05-02 00:00:00,2018-05-12 00:00:00,Vanuatu,Australia and Oceania,Snacks,Online,Medium,7417,152.58,97.44
725348985,2018-03-06 00:00:00,2018-03-13 00:00:00,Grenada,Central America and the Caribbean,Vegetables,Online,Cancelled,5738,154.06,90.93
538698565,2021-08-11 00:00:00,2021-08-16 00:00:00,Mozambique,Sub-Saharan Africa,Household,Offline,High,1731,668.27,502.54
224126088,2016-05-20 00:00:00,2016-05-28 00:00:00,Cuba,Central America and the Caribbean,Cereal,Offline,High,2745,205.7,117.11
425430381,2020-10-22 00:00:00,2020-11-02 00:00:00,Algeria,Middle East and North Africa,Beverages,Online,Medium,3159,47.45,31.79
506722772,2016-07-20 00:00:00,2016-07-21 00:00:00,Equatorial Guinea,Sub-Saharan Africa,Vegetables,Offline,Medium,9383,154.06,90.93
802427089,2022-04-07 00:00:00,2022-04-27 00:00:00,Uganda,Sub-Saharan Africa,Office Supplies,Offline,Cancelled,4862,651.21,524.96
367279660,2015-07-14 00:00:00,2015-08-01 00:00:00,Thailand,Asia,Cosmetics,Offline,High,5068,437.2,263.33
126329314,2019-05-10 00:00:00,2019-05-14 00:00:00,Turkey,Middle East and North Africa,Personal Care,Offline,High,2506,81.73,56.67
624937379,2016-02-01 00:00:00,2016-02-03 00:00:00,Kazakhstan,Asia,Personal Care,Offline,High,1713,81.73,56.67
678777682,2022-08-20 00:00:00,2022-08-29 00:00:00,Nicaragua,Central America and the Caribbean,Snacks,Offline,High,4255,152.58,97.44
523836553,2015-04-12 00:00:00,2015-04-20 00:00:00,Kazakhstan,Asia,Cereal,Online,Low,3732,205.7,117.11
466412818,2015-04-08 00:00:00,2015-04-25 00:00:00,Chad,Sub-Saharan Africa,Cereal,Offline,Cancelled,772,205.7,117.11
433117806,2020-01-27 00:00:00,2020-02-05 00:00:00,East Timor,Australia and Oceania,Fruits,Online,High,8039,9.33,6.92
420875346,2020-01-06 00:00:00,2020-01-12 00:00:00,Lithuania,Europe,Cosmetics,Offline,Low,5223,437.2,263.33
946921765,2018-11-26 00:00:00,2018-12-10 00:00:00,Eritrea,Sub-Saharan Africa,Cosmetics,Online,Cancelled,4048,437.2,263.33
798805892,2022-04-04 00:00:00,2022-04-24 00:00:00,Zambia,Sub-Saharan Africa,Household,Offline,High,3270,668.27,502.54
184389054,2021-05-17 00:00:00,2021-06-06 00:00:00,Liberia,Sub-Saharan Africa,Household,Offline,Medium,3674,668.27,502.54
281845080,2019-09-09 00:00:00,2019-09-16 00:00:00,Saint Kitts and Nevis ,Central America and the Caribbean,Household,Offline,Medium,3077,668.27,502.54
989660298,2019-09-14 00:00:00,2019-10-02 00:00:00,Jamaica,Central America and the Caribbean,Meat,Online,High,1330,421.89,364.69
476633536,2020-10-05 00:00:00,2020-10-26 00:00:00,Albania,Europe,Vegetables,Online,Cancelled,5310,154.06,90.93
